run_id,epochs,batch_size,pearson_mae,spearman_mae,RR_median,RR_p05,RR_p01,FR_median,FR_p05,pct_FR_below_RR1pct,near_dup_rate,eps_used,train_time_sec,gen_time_sec
1,300,500,0.09215184149382608,0.09492154484999575,0.9774631429422356,0.23142579653857615,0.07714061450996036,1.114907698301677,0.717153535807147,0.0,0.0,0.009774631429422356,20.21,0.04
2,600,500,0.06934039418702782,0.06625772732841392,0.9774631429422356,0.23142579653857615,0.07714061450996036,1.0802771501407198,0.7072379223816876,0.0,0.0,0.009774631429422356,39.09,0.04
3,1200,500,0.07527708091553549,0.06830237562688445,0.9774631429422356,0.23142579653857615,0.07714061450996036,1.0303555973071425,0.68677318384266,0.0,0.0,0.009774631429422356,75.38,0.04
4,300,256,0.08421218470110292,0.07302496471542425,0.9774631429422356,0.23142579653857615,0.07714061450996036,1.0691848776678607,0.6972622729361391,0.0,0.0,0.009774631429422356,22.14,0.04
5,300,128,0.07048644793564912,0.06956226501958147,0.9774631429422356,0.23142579653857615,0.07714061450996036,1.065171158369206,0.6818613871540857,0.0,0.0,0.009774631429422356,35.2,0.05
6,600,128,0.06581246245999421,0.06372159505299867,0.9774631429422356,0.23142579653857615,0.07714061450996036,1.0683476097081452,0.6895603064780791,0.0,0.0,0.009774631429422356,72.33,0.05
7,2400,500,0.04977156060595347,0.0433386951743442,0.9774631429422356,0.23142579653857615,0.07714061450996036,1.0961578963404928,0.6963438070835204,0.0,0.0,0.009774631429422356,146.11,0.04
8,4800,500,0.040261119376808555,0.04035064060930135,0.9774631429422356,0.23142579653857615,0.07714061450996036,1.0686711148408041,0.6983842152853614,0.0,0.0,0.009774631429422356,290.06,0.05
9,300,64,0.055747220970435496,0.05567901946598422,0.9774631429422356,0.23142579653857615,0.07714061450996036,1.0834126355925113,0.7163236644125096,0.0,0.0,0.009774631429422356,59.85,0.05
10,600,64,0.0527562879447743,0.056005498612645796,0.9774631429422356,0.23142579653857615,0.07714061450996036,1.1419026696976227,0.7304310462090325,0.0,0.0,0.009774631429422356,113.81,0.04
11,1200,64,0.04136746718651237,0.03626675347495177,0.9774631429422356,0.23142579653857615,0.07714061450996036,1.1318499684043664,0.7243443628705545,0.0,0.0,0.009774631429422356,227.14,0.05
12,2400,64,0.03827268719255453,0.03820400682345418,0.9774631429422356,0.23142579653857615,0.07714061450996036,1.1021599798814403,0.7212157119495908,0.0,0.0,0.009774631429422356,438.55,0.04
13,2400,64,0.04845083147979498,0.047973882491258335,0.9774631429422356,0.23142579653857615,0.07714061450996036,1.1238453866896143,0.7232185095591895,0.0,0.0,0.009774631429422356,434.2,0.04
14,2400,64,0.04349117144505643,0.04565540982831082,0.9774631429422356,0.23142579653857615,0.07714061450996036,1.13863224798434,0.7243563950291844,0.0,0.0,0.009774631429422356,435.48,0.04
